"";"IN-OPERACAO";"CO-MUNICIPIO";"CO-MUNICIPIO-BACEN";"NU-CGC-MUNICIPIO";"CO-MUNICIPIO-BANCO-BRASIL";"NO-MUNICIPIO";"CO-UF";"CO-MUNICIPIO-IBGE"
"1";"A";"0001";"22882";"05893631000109";"032484";"GUAJARA-MIRIM";"RO";"1100106"
"2";"A";"0002";"00000";"84744994000140";"101893";"ALTO ALEGRE DOS PARECIS";"RO";"1100379"
"3";"A";"0003";"30719";"05903125000145";"062910";"PORTO VELHO";"RO";"1100205"
"4";"A";"0008";"00000";"84736941000188";"092835";"CUJUBIM";"RO";"1100940"
"5";"A";"0013";"34409";"04092706000181";"087653";"VILHENA";"RO";"1100304"
"6";"A";"0015";"41258";"04279238000159";"041440";"JARU";"RO";"1100114"
"7";"A";"0016";"00000";"84723030000116";"092797";"PRIMAVERA DE RONDONIA";"RO";"1101476"
"8";"A";"0017";"41296";"04380507000179";"055077";"OURO PRETO DO OESTE";"RO";"1100155"
"9";"A";"0020";"00000";"01254422000156";"103659";"SAO FRANCISCO DO GUAPORE";"RO";"1101492"
"10";"A";"0022";"00000";"84722933000182";"103900";"TEIXEIROPOLIS";"RO";"1101559"
"11";"A";"0023";"41210";"04391512000187";"021822";"COLORADO DO OESTE";"RO";"1100064"
"12";"A";"0031";"50184";"37622149000112";"015580";"CALDAZINHA";"GO";"5204557"
"13";"A";"0032";"00000";"01613028000167";"102741";"IRACEMA";"RR";"1400282"
"14";"A";"0035";"43029";"15845340000190";"003751";"ALVORADA D'OESTE";"RO";"1100346"
"15";"A";"0036";"00000";"01613031000180";"103462";"RORAINOPOLIS";"RR";"1400472"
"16";"A";"0037";"44626";"22855159000120";"091243";"CABIXI";"RO";"1100031"
"17";"A";"0039";"44547";"22855142000173";"090638";"MACHADINHO D'OESTE";"RO";"1100130"
"18";"A";"0044";"56573";"01614112000103";"010766";"BELTERRA";"PA";"1501451"
"19";"A";"0048";"51358";"01613321000124";"102288";"CANAA DOS CARAJAS";"PA";"1502152"
"20";"A";"0049";"50500";"37623501000134";"041777";"JESUPOLIS";"GO";"5212055"
"21";"A";"0052";"51286";"01613338000181";"102601";"FLORESTA DO ARAGUAIA";"PA";"1503044"
"22";"A";"0053";"44987";"37623485000180";"100684";"SANTO ANTONIO DE GOIAS";"GO";"5219738"
"23";"A";"0056";"51303";"01612215000126";"103071";"NOVA IPIXUNA";"PA";"1504976"
"24";"A";"0059";"50139";"37622164000160";"100820";"UIRAPURU";"GO";"5221577"
"25";"A";"0060";"51310";"01611858000155";"103330";"PLACAS";"PA";"1505650"
"26";"A";"0061";"50146";"24856569000111";"099392";"BURITINOPOLIS";"GO";"5203962"
"27";"A";"0063";"50586";"26867770000120";"099376";"BURITI DE GOIAS";"GO";"5203939"
"28";"A";"0064";"45948";"01613320000180";"074250";"SAO JOAO DA PONTA";"PA";"1507466"
"29";"A";"0068";"51334";"01612999000192";"083372";"TRACUATEUA";"PA";"1508035"
"30";"A";"0070";"56487";"00720553000119";"104035";"VITORIA DO JARI";"AP";"1600808"
"31";"A";"0071";"50531";"24859316000100";"005240";"APARECIDA DO RIO DOCE";"GO";"5201454"
"32";"A";"0072";"00000";"01634074000142";"101885";"AGUIARNOPOLIS";"TO";"1700301"
"33";"A";"0075";"50191";"24859324000148";"059277";"PEROLANDIA";"GO";"5216452"
"34";"A";"0077";"50548";"36862621000121";"098817";"CIDADE OCIDENTAL";"GO";"5205497"
"35";"A";"0078";"00000";"01625984000169";"102393";"CHAPADA DE AREIA";"TO";"1704600"
"36";"A";"0082";"00000";"01612821000141";"102474";"CRIXAS DO TOCANTINS";"TO";"1706258"
"37";"A";"0085";"50562";"33331604000170";"099236";"ALTO HORIZONTE";"GO";"5200555"
"38";"A";"0086";"00000";"01618402000117";"102911";"LAVANDEIRA";"TO";"1712157"
"39";"A";"0087";"43902";"33331661000159";"100153";"NOVA IGUACU DE GOIAS";"GO";"5214879"
"40";"A";"0090";"00000";"01613093000192";"050555";"MONTE SANTO DO TOCANTINS";"TO";"1713700"
"41";"A";"0093";"51482";"37464948000108";"076597";"SAO PEDRO DA CIPA";"MT";"5107404"
"42";"A";"0094";"00000";"01615883000107";"103411";"PUGMIL";"TO";"1718451"
"43";"A";"0095";"51499";"33000670000167";"100374";"PONTAL DO ARAGUAIA";"MT";"5106653"
"44";"A";"0097";"51578";"37465002000166";"098795";"QUERENCIA";"MT";"5107065"
"45";"A";"0098";"00000";"01634030000112";"103543";"SANTA TEREZINHA DO TOCANTINS";"TO";"1720002"
"46";"A";"0099";"51523";"15943434000100";"065960";"RIBEIRAOZINHO";"MT";"5107198"
"47";"A";"0102";"00000";"01613619000134";"084379";"TUPIRAMA";"TO";"1721257"
"48";"A";"0104";"00000";"01612339000101";"091782";"AGUA DOCE DO MARANHAO";"MA";"2100154"
"49";"A";"0105";"35697";"04508933000145";"013293";"BRASILEIA";"AC";"1200104"
"50";"A";"0107";"35680";"04012548000102";"024503";"CRUZEIRO DO SUL";"AC";"1200203"
"51";"A";"0108";"00000";"01612832000121";"091804";"ALTO ALEGRE DO PINDARE";"MA";"2100477"
"52";"A";"0115";"51516";"37464161000146";"071293";"SANTO AFONSO";"MT";"5107263"
"53";"A";"0116";"00000";"01611396000176";"101990";"BACABEIRA";"MA";"2101251"
"54";"A";"0117";"51451";"33683822000173";"100102";"NOVA BANDEIRANTES";"MT";"5106158"
"55";"A";"0119";"51554";"37465556000163";"100200";"NOVA MONTE VERDE";"MT";"5108956"
"56";"A";"0120";"56951";"01612545000111";"102091";"BELAGUA";"MA";"2101731"
"57";"A";"0124";"00000";"01612345000169";"102113";"BERNARDO DO MEARIM";"MA";"2101939"
"58";"A";"0127";"51561";"37465143000189";"099210";"ALTO BOA VISTA";"MT";"5100359"
"59";"A";"0128";"00000";"01612668000152";"091847";"BOM JESUS DAS SELVAS";"MA";"2102036"
"60";"A";"0131";"51509";"37464716000150";"099562";"CONFRESA";"MT";"5103353"
"61";"A";"0132";"00000";"01612318000196";"091898";"BREJO DE AREIA";"MA";"2102150"
"62";"A";"0135";"51530";"37464955000100";"099740";"GLORIA D'OESTE";"MT";"5103957"
"63";"A";"0136";"56779";"01601303000122";"014052";"BURITIRANA";"MA";"2102358"
"64";"A";"0139";"38955";"04034583000122";"066311";"RIO BRANCO";"AC";"1200401"
"65";"A";"0140";"56858";"01598550000117";"091952";"CAMPESTRE DO MARANHAO";"MA";"2102556"
"66";"A";"0143";"50744";"37212719000104";"100099";"NOVA ALVORADA DO SUL";"MS";"5006002"
"67";"A";"0144";"00000";"01612342000125";"091979";"CENTRAL DO MARANHAO";"MA";"2103125"
"68";"A";"0147";"27478";"34693564000179";"081906";"TARAUACA";"AC";"1200609"
"69";"A";"0148";"00000";"01612323000107";"091987";"CENTRO NOVO DO MARANHAO";"MA";"2103174"
"70";"A";"0153";"33730";"04077251000125";"078590";"SENADOR GUIOMARD";"AC";"1200450"
"71";"A";"0154";"00000";"01616269000160";"102520";"DAVINOPOLIS";"MA";"2103752"
"72";"A";"0155";"05184";"04051207000146";"046736";"MANOEL URBANO";"AC";"1200344"
"73";"A";"0157";"09465";"04045993000179";"007323";"ASSIS BRASIL";"AC";"1200054"
"74";"A";"0158";"56793";"01612667000108";"102598";"FERNANDO FALCAO";"MA";"2104081"
"75";"A";"0162";"00000";"01597627000134";"102679";"GOVERNADOR EDISON LOBAO";"MA";"2104552"
"76";"A";"0163";"49229";"01989813000119";"043958";"LAGUNA CARAPA";"MS";"5005251"
"77";"A";"0166";"00000";"01615124000144";"102695";"GOVERNADOR NEWTON BELLO";"MA";"2104651"
"78";"A";"0170";"00000";"01612346000103";"092053";"IGARAPE DO MEIO";"MA";"2105153"
"79";"A";"0171";"00000";"25064064000187";"014745";"CACHOEIRINHA";"TO";"1703826"
"80";"A";"0172";"00000";"01612546000166";"102750";"ITAIPAVA DO GRAJAU";"MA";"2105351"
"81";"A";"0176";"00000";"01616678000166";"102776";"JATOBA";"MA";"2105450"
"82";"A";"0180";"00000";"01612334000189";"092096";"JUNCO DO MARANHAO";"MA";"2105658"
"83";"A";"0183";"00000";"25064015000144";"100030";"MAURILANDIA DO TOCANTINS";"TO";"1712801"
"84";"A";"0184";"56906";"01612541000133";"043451";"LAGO DOS RODRIGUES";"MA";"2105948"
"85";"A";"0191";"00000";"25063991000182";"100340";"PAU D'ARCO";"TO";"1716307"
"86";"A";"0192";"56872";"01555070000179";"092177";"MARAJA DO SENA";"MA";"2106359"
"87";"A";"0195";"00000";"25063918000100";"100625";"SANTA FE DO ARAGUAIA";"TO";"1718865"
"88";"A";"0196";"00000";"01612831000187";"092215";"MATOES DO NORTE";"MA";"2106631"
"89";"A";"0200";"56975";"01608768000105";"092231";"NOVA COLINAS";"MA";"2107258"
"90";"A";"0203";"39253";"04262762000117";"004812";"ANORI";"AM";"1300102"
"91";"A";"0204";"00000";"01612629000155";"092274";"OLINDA NOVA DO MARANHAO";"MA";"2107456"
"92";"A";"0205";"09537";"04530713000118";"007420";"ATALAIA DO NORTE";"AM";"1300201"
"93";"A";"0207";"18360";"04477642000137";"007676";"AUTAZES";"AM";"1300300"
"94";"A";"0208";"00000";"01614946000100";"103250";"PEDRO DO ROSARIO";"MA";"2108256"
"95";"A";"0209";"23434";"04271037000105";"008940";"BARCELOS";"AM";"1300409"
"96";"A";"0212";"00000";"01612542000188";"103390";"PORTO RICO DO MARANHAO";"MA";"2109056"
"97";"A";"0213";"05665";"04243978000135";"010863";"BENJAMIN CONSTANT";"AM";"1300607"
"98";"A";"0216";"00000";"01613745000199";"103403";"PRESIDENTE SARNEY";"MA";"2109270"
"99";"A";"0217";"21553";"04477568000159";"012904";"BORBA";"AM";"1300805"
"100";"A";"0220";"56968";"01598547000101";"103438";"RIBAMAR FIQUENE";"MA";"2109551"
"101";"A";"0221";"36816";"04530044000184";"018570";"CARAUARI";"AM";"1301001"
"102";"A";"0224";"00000";"01612830000132";"092363";"SANTANA DO MARANHAO";"MA";"2110237"
"103";"A";"0225";"17165";"04262432000121";"021407";"COARI";"AM";"1301209"
"104";"A";"0229";"34375";"04190765000192";"026921";"EIRUNEPE";"AM";"1301407"
"105";"A";"0230";"00000";"01616680000135";"092355";"SAO FRANCISCO DO BREJAO";"MA";"2110856"
"106";"A";"0233";"12971";"04530101000125";"029920";"FONTE BOA";"AM";"1301605"
"107";"A";"0234";"00000";"01597629000123";"092401";"SAO JOAO DO PARAISO";"MA";"2111052"
"108";"A";"0237";"06877";"04194239000109";"069574";"SANTA ISABEL DO RIO NEGRO";"AM";"1303601"
"109";"A";"0238";"56913";"01616769000100";"092428";"SAO JOSE DOS BASILIOS";"MA";"2111250"
"110";"A";"0240";"00000";"01613956000121";"091774";"SAO PEDRO DA AGUA BRANCA";"MA";"2111532"
"111";"A";"0244";"00000";"01611836000195";"092444";"SAO RAIMUNDO DO DOCA BEZERRA";"MA";"2111631"
"112";"A";"0245";"24196";"04505509000147";"041165";"JAPURA";"AM";"1302108"
"113";"A";"0248";"00000";"01611895000163";"092460";"SATUBINHA";"MA";"2111722"
"114";"A";"0249";"06750";"04285896000153";"043214";"JUTAI";"AM";"1302306"
"115";"A";"0252";"54324";"01598970000101";"092150";"SENADOR LA ROCQUE";"MA";"2111763"
"116";"A";"0253";"19864";"04274064000131";"046361";"MANACAPURU";"AM";"1302504"
"117";"A";"0256";"56999";"01612338000167";"092487";"SUCUPIRA DO RIACHAO";"MA";"2111953"
"118";"A";"0257";"18597";"04197166000109";"046604";"MANICORE";"AM";"1302702"
"119";"A";"0260";"00000";"01612631000124";"092495";"TUFILANDIA";"MA";"2112274"
"120";"A";"0261";"36586";"04282869000127";"048550";"MAUES";"AM";"1302900"
"121";"A";"0265";"17110";"04477600000104";"053511";"NOVA OLINDA DO NORTE";"AM";"1303106"
"122";"A";"0268";"47616";"01612562000159";"101915";"ALVORADA DO GURGUEIA";"PI";"2200459"
"123";"A";"0269";"32212";"04329736000169";"057150";"PARINTINS";"AM";"1303403"
"124";"A";"0272";"00000";"01612565000192";"102040";"BARRA D'ALCANTARA";"PI";"2201176"
"125";"A";"0273";"10131";"04532057000192";"071773";"SANTO ANTONIO DO ICA";"AM";"1303700"
"126";"A";"0275";"27911";"05829577000124";"076384";"SAO PAULO DE OLIVENCA";"AM";"1303908"
"127";"A";"0276";"00000";"01612560000160";"102105";"BELEM DO PIAUI";"PI";"2201572"
"128";"A";"0278";"47094";"01612622000133";"102121";"BETANIA DO PIAUI";"PI";"2201739"
"129";"A";"0279";"07168";"04530390000162";"081469";"TAPAUA";"AM";"1304104"
"130";"A";"0282";"00000";"01612566000137";"102164";"BOQUEIRAO DO PIAUI";"PI";"2201945"
"131";"A";"0285";"17763";"04477782000105";"085286";"URUCARA";"AM";"1304302"
"132";"A";"0286";"55031";"01612573000139";"102229";"CAJAZEIRAS DO PIAUI";"PI";"2202075"
"133";"A";"0289";"41832";"04628335000100";"003620";"ALVARAES";"AM";"1300029"
"134";"A";"0290";"55048";"01612564000148";"102253";"CAMPO ALEGRE DO FIDALGO";"PI";"2202117"
"135";"A";"0293";"41942";"04628020000162";"004308";"ANAMA";"AM";"1300086"
"136";"A";"0294";"55062";"01612754000165";"102270";"CAMPO LARGO DO PIAUI";"PI";"2202174"
"137";"A";"0295";"41887";"04628111000106";"011045";"BERURI";"AM";"1300631"
"138";"A";"0297";"41997";"04629283000196";"011665";"BOA VISTA DO RAMOS";"AM";"1300680"
"139";"A";"0298";"55086";"01612617000120";"102318";"CARAUBAS DO PIAUI";"PI";"2202539"
"140";"A";"0301";"35295";"05943030000155";"011509";"BOA VISTA";"RR";"1400100"
"141";"A";"0302";"55093";"01612618000175";"102377";"CAXINGO";"PI";"2202653"
"142";"A";"0307";"00000";"04056214000130";"012610";"BONFIM";"RR";"1400159"
"143";"A";"0311";"00000";"04056222000187";"052477";"NORMANDIA";"RR";"1400407"
"144";"A";"0312";"00000";"01612556000100";"102504";"CURRAL NOVO DO PIAUI";"PI";"2203271"
"145";"A";"0315";"00000";"04056230000123";"075809";"SAO LUIZ";"RR";"1400605"
"146";"A";"0317";"00000";"26753129000164";"048259";"MATEIROS";"TO";"1712702"
"147";"A";"0318";"55158";"01499149000120";"102660";"GEMINIANO";"PI";"2204352"
"148";"A";"0320";"00000";"01612576000172";"102717";"GUARIBAS";"PI";"2204550"
"149";"A";"0323";"00000";"33262536000134";"066443";"RIO DA CONCEICAO";"TO";"1718659"
"150";"A";"0324";"55165";"01612557000146";"102792";"JATOBA DO PIAUI";"PI";"2205276"
"151";"A";"0327";"46727";"37344397000149";"018830";"CARIRI DO TOCANTINS";"TO";"1703867"
"152";"A";"0328";"55189";"01612677000143";"102830";"JOCA MARQUES";"PI";"2205458"
"153";"A";"0332";"55196";"01612619000110";"102857";"JULIO BORGES";"PI";"2205524"
"154";"A";"0338";"55907";"01612584000119";"102873";"LAGOA DE SAO FRANCISCO";"PI";"2205573"
"155";"A";"0341";"00000";"37420775000126";"012297";"BOM JESUS DO TOCANTINS";"TO";"1703305"
"156";"A";"0345";"00000";"37421112000126";"099724";"FORTALEZA DO TABOCAO";"TO";"1708254"
"157";"A";"0348";"55251";"01612590000176";"102997";"MILTON BRANDAO";"PI";"2206357"
"158";"A";"0351";"00000";"37420650000104";"099929";"LAJEADO";"TO";"1712009"
"159";"A";"0352";"55275";"01612593000100";"103012";"MORRO DO CHAPEU DO PIAUI";"PI";"2206670"
"160";"A";"0355";"00000";"25063942000140";"060925";"PIRAQUE";"TO";"1717206"
"161";"A";"0356";"55299";"01612592000165";"103055";"NOSSA SENHORA DE NAZARE";"PI";"2206753"
"162";"A";"0363";"00000";"26753145000157";"100498";"SAO FELIX DO TOCANTINS";"TO";"1720150"
"163";"A";"0364";"55323";"01612601000118";"103225";"PAQUETA";"PI";"2207553"
"164";"A";"0365";"00000";"37420692000137";"084395";"TUPIRATINS";"TO";"1721307"
"165";"A";"0367";"46662";"26753137000100";"099902";"LAGOA DA CONFUSAO";"TO";"1711902"
"166";"A";"0368";"55330";"01612600000173";"103268";"PEDRO LAURENTINO";"PI";"2207934"
"167";"A";"0369";"51138";"83334698000109";"100617";"SANTA BARBARA DO PARA";"PA";"1506351"
"168";"A";"0370";"55347";"01612599000187";"103284";"NOVA SANTA RITA";"PI";"2207959"
"169";"A";"0374";"47568";"01612606000140";"103420";"RIACHO FRIO";"PI";"2208858"
"170";"A";"0375";"00000";"83211375000128";"099163";"ABEL FIGUEIREDO";"PA";"1500131"
"171";"A";"0378";"55378";"01612603000107";"103578";"SANTO ANTONIO DOS MILAGRES";"PI";"2209450"
"172";"A";"0381";"51224";"83211391000110";"100471";"SAO DOMINGOS DO ARAGUAIA";"PA";"1507151"
"173";"A";"0382";"47582";"01612607000195";"103667";"SAO GONCALO DO GURGUEIA";"PI";"2209757"
"174";"A";"0383";"51152";"34671057000134";"099198";"AGUA AZUL DO NORTE";"PA";"1500347"
"175";"A";"0385";"51262";"34670976000193";"099600";"CUMARU DO NORTE";"PA";"1502764"
"176";"A";"0389";"51372";"83267989000121";"099295";"AURORA DO PARA";"PA";"1500958"
"177";"A";"0390";"47197";"01519467000105";"103730";"SAO LUIS DO PIAUI";"PI";"2210375"
"178";"A";"0391";"51248";"84263862000105";"100137";"NOVA ESPERANCA DO PIRIA";"PA";"1504950"
"179";"A";"0392";"47609";"01612623000188";"103748";"SAO MIGUEL DA BAIXA GRANDE";"PI";"2210383"
"180";"A";"0395";"44365";"22941355000118";"090964";"TAILANDIA";"PA";"1507953"
"181";"A";"0397";"44200";"22981088000102";"091189";"TUCUMA";"PA";"1508084"
"182";"A";"0398";"55440";"01612610000109";"103810";"SEBASTIAO LEAL";"PI";"2210631"
"183";"A";"0401";"05603";"05105127000199";"001058";"ABAETETUBA";"PA";"1500107"
"184";"A";"0402";"55464";"01616855000104";"103888";"TAMBORIL DO PIAUI";"PI";"2210953"
"185";"A";"0403";"07924";"05196548000172";"001287";"ACARA";"PA";"1500206"
"186";"A";"0407";"16908";"04838793000173";"002682";"ALENQUER";"PA";"1500404"
"187";"A";"0409";"21223";"05139464000105";"002925";"ALMEIRIM";"PA";"1500503"
"188";"A";"0410";"55505";"01612612000106";"104043";"WALL FERRAZ";"PI";"2211704"
"189";"A";"0413";"30245";"05849955000131";"004278";"ANAJAS";"PA";"1500701"
"190";"A";"0414";"00000";"01612375000175";"015180";"CAICARA DO NORTE";"RN";"2401859"
"191";"A";"0417";"40682";"04873600000115";"007528";"AUGUSTO CORREA";"PA";"1500909"
"192";"A";"0418";"00000";"01612395000146";"102768";"ITAJA";"RN";"2404853"
"193";"A";"0421";"07656";"04876538000115";"008052";"BAGRE";"PA";"1501105"
"194";"A";"0424";"00000";"01612438000193";"069930";"SANTA MARIA";"RN";"2409332"
"195";"A";"0425";"15480";"05058458000115";"008915";"BARCARENA";"PA";"1501303"
"196";"A";"0426";"00000";"01612371000197";"062715";"PORTO DO MANGUE";"RN";"2410256"
"197";"A";"0428";"00000";"01622882000190";"082678";"TIBAU";"RN";"2411056"
"198";"A";"0429";"11848";"05058466000161";"010839";"BENEVIDES";"PA";"1501501"
"199";"A";"0433";"22459";"04873592000107";"013188";"BRAGANCA";"PA";"1501709"
"200";"A";"0436";"00000";"01612376000110";"083895";"TRIUNFO POTIGUAR";"RN";"2414456"
"201";"A";"0437";"31842";"05196563000110";"013900";"BUJARU";"PA";"1501907"
"202";"A";"0441";"38010";"05105283000150";"016012";"CAMETA";"PA";"1502103"
"203";"A";"0444";"48189";"01612473000102";"004170";"AMPARO";"PB";"2500734"
"204";"A";"0445";"07838";"05149109000109";"018112";"CAPITAO POCO";"PA";"1502301"
"205";"A";"0448";"00000";"01612685000190";"006610";"AREIA DE BARAUNAS";"PB";"2501153"
"206";"A";"0449";"16283";"04888111000137";"020915";"CHAVES";"PA";"1502509"
"207";"A";"0452";"00000";"01612512000171";"008842";"BARAUNA";"PB";"2501534"
"208";"A";"0453";"25827";"05070404000175";"021997";"CONCEICAO DO ARAGUAIA";"PA";"1502707"
"209";"A";"0456";"47867";"01621539000120";"101842";"BERNARDINO BATISTA";"PB";"2502052"
"210";"A";"0457";"36098";"05171939000132";"025020";"CURUCA";"PA";"1502905"
"211";"A";"0460";"47984";"01612686000134";"102210";"CACIMBAS";"PB";"2503555"
"212";"A";"0461";"04642";"04876397000130";"033529";"GURUPA";"PA";"1503101"
"213";"A";"0464";"56102";"01612304000172";"017990";"CAPIM";"PB";"2504033"
"214";"A";"0468";"56119";"01617975000126";"102350";"CASSERENGUE";"PB";"2504157"
"215";"A";"0469";"17756";"05193123000100";"037206";"IRITUIA";"PA";"1503507"
"216";"A";"0472";"56133";"01612757000107";"023868";"COXIXOLA";"PB";"2504850"
"217";"A";"0473";"26974";"05077102000129";"039756";"ITUPIRANGA";"PA";"1503705"
"218";"A";"0476";"48622";"01612372000131";"024945";"CURRAL DE CIMA";"PB";"2505279"
"219";"A";"0477";"36184";"05257555000137";"043109";"JURUTI";"PA";"1503903"
"220";"A";"0481";"01298";"05171947000189";"046019";"MAGALHAES BARATA";"PA";"1504109"
"221";"A";"0483";"06932";"05853163000130";"046825";"MARABA";"PA";"1504208"
"222";"A";"0484";"48725";"01612351000116";"047147";"MARCACAO";"PB";"2509057"
"223";"A";"0485";"10076";"04880258000180";"046884";"MARACANA";"PA";"1504307"
"224";"A";"0487";"14560";"05171681000174";"047007";"MARAPANIM";"PA";"1504406"
"225";"A";"0488";"47757";"01612641000160";"048364";"MATINHAS";"PB";"2509339"
"226";"A";"0491";"26015";"05846704000101";"049743";"MOCAJUBA";"PA";"1504604"
"227";"A";"0492";"47836";"01612689000178";"102989";"MATUREIA";"PB";"2509396"
"228";"A";"0495";"34959";"04838496000128";"050202";"MONTE ALEGRE";"PA";"1504802"
"229";"A";"0498";"48031";"01615784000125";"103349";"POCO DE JOSE DE MOURA";"PB";"2512077"
"230";"A";"0499";"03629";"05149125000100";"053732";"NOVA TIMBOTEUA";"PA";"1505007"
"231";"A";"0500";"00000";"01612967000197";"103276";"PEDRO REGIS";"PB";"2512721"
"232";"A";"0503";"11556";"04876413000195";"054240";"OEIRAS DO PARA";"PA";"1505205"
"233";"A";"0504";"00000";"01612343000170";"101974";"RIACHAO DO BACAMARTE";"PB";"2512754"
"234";"A";"0507";"22851";"05149133000148";"054917";"OUREM";"PA";"1505403"
"235";"A";"0508";"56164";"01612637000100";"065609";"RIACHO DE SANTO ANTONIO";"PB";"2512788"
"236";"A";"0511";"29249";"05149158000141";"058793";"PEIXE-BOI";"PA";"1505601"
"237";"A";"0512";"48433";"01612693000136";"103519";"SANTA INES";"PB";"2513356"
"238";"A";"0514";"56171";"01613283000100";"103551";"JOCA CLAUDINO";"PB";"2513653"
"239";"A";"0518";"48512";"01612690000100";"103586";"SAO BENTINHO";"PB";"2513927"
"240";"A";"0519";"09317";"04860854000107";"063312";"PRAINHA";"PA";"1506005"
"241";"A";"0520";"00000";"01612650000150";"103624";"SAO DOMINGOS DO CARIRI";"PB";"2513943"
"242";"A";"0523";"14845";"05149166000198";"068187";"SALINOPOLIS";"PA";"1506203"
"243";"A";"0528";"56212";"01612684000145";"074640";"SAO JOSE DE PRINCESA";"PB";"2514552"
"244";"A";"0531";"32607";"05149174000134";"070017";"SANTA MARIA DO PARA";"PA";"1506609"
"245";"A";"0537";"10485";"05149182000180";"071242";"SANTAREM NOVO";"PA";"1506906"
"246";"A";"0538";"47960";"01612649000126";"082333";"TENORIO";"PB";"2516755"
"247";"A";"0541";"19297";"05351614000131";"072672";"SAO CAETANO DE ODIVELAS";"PA";"1507102"
"248";"A";"0542";"48165";"01612642000104";"088404";"ZABELE";"PB";"2517407"
"249";"A";"0545";"28123";"05421300000168";"073040";"SAO FELIX DO XINGU";"PA";"1507300"
"250";"A";"0546";"56250";"01618704000195";"019542";"CASINHAS";"PE";"2604155"
"251";"A";"0549";"37327";"05854534000107";"073806";"SAO JOAO DO ARAGUAIA";"PA";"1507508"
"252";"A";"0550";"56274";"01614878000180";"102784";"JATOBA";"PE";"2608057"
"253";"A";"0553";"07405";"05105143000181";"077160";"SAO SEBASTIAO DA BOA VISTA";"PA";"1507706"
"254";"A";"0557";"17419";"05133863000150";"080489";"SOURE";"PA";"1507904"
"255";"A";"0558";"56315";"01596018000160";"081221";"TAMANDARE";"PE";"2614857"
"256";"A";"0560";"00000";"01631604000107";"102245";"CAMPESTRE";"AL";"2701357"
"257";"A";"0562";"56748";"02917132000108";"112801";"JEQUIA DA PRAIA";"AL";"2703759"
"258";"A";"0564";"52711";"01616270000194";"003263";"ALTO CAPARAO";"MG";"3102050"
"259";"A";"0565";"34368";"04873618000117";"087793";"VISEU";"PA";"1508308"
"260";"A";"0566";"52924";"01113937000136";"101966";"ANGELANDIA";"MG";"3102852"
"261";"A";"0569";"41825";"04144176000178";"066630";"RIO MARIA";"PA";"1506161"
"262";"A";"0574";"52948";"01602009000135";"101362";"BRASILANDIA DE MINAS";"MG";"3108552"
"263";"A";"0575";"44729";"22938757000163";"091286";"BOM JESUS DO TOCANTINS";"PA";"1501576"
"264";"A";"0577";"44736";"22938773000156";"091294";"BREJO GRANDE DO ARAGUAIA";"PA";"1501758"
"265";"A";"0578";"52955";"01603707000155";"014192";"CABECEIRA GRANDE";"MG";"3109451"
"266";"A";"0579";"44561";"14145791000152";"090913";"CONCORDIA DO PARA";"PA";"1502756"
"267";"A";"0582";"52979";"01617441000108";"017655";"CANTAGALO";"MG";"3112059"
"268";"A";"0586";"52993";"01612502000136";"102369";"CATUTI";"MG";"3115474"
"269";"A";"0589";"44523";"34593525000108";"048682";"MEDICILANDIA";"PA";"1504455"
"270";"A";"0590";"53019";"01612492000139";"022446";"CONEGO MARINHO";"MG";"3117836"
"271";"A";"0591";"44578";"22980643000181";"091170";"OURILANDIA DO NORTE";"PA";"1505437"
"272";"A";"0594";"53064";"01614862000177";"023329";"CORREGO FUNDO";"MG";"3119955"
"273";"A";"0595";"44176";"22980999000115";"091324";"PARAUAPEBAS";"PA";"1505536"
"274";"A";"0597";"44774";"10222297000193";"091332";"RUROPOLIS";"PA";"1506195"
"275";"A";"0598";"53088";"01615422000134";"024830";"CUPARAQUE";"MG";"3120839"
"276";"A";"0601";"12438";"05989116000119";"003883";"AMAPA";"AP";"1600105"
"277";"A";"0602";"53105";"01020881000175";"102539";"DELTA";"MG";"3121258"
"278";"A";"0603";"14553";"05990437000133";"015547";"CALCOENE";"AP";"1600204"
"279";"A";"0606";"53129";"01602782000100";"102547";"DOM BOSCO";"MG";"3122470"
"280";"A";"0607";"15105";"05986427000124";"048615";"MAZAGAO";"AP";"1600402"
"281";"A";"0613";"44224";"23066905000160";"090816";"LARANJAL DO JARI";"AP";"1600279"
"282";"A";"0614";"53167";"01612482000101";"030902";"GAMELEIRAS";"MG";"3127339"
"283";"A";"0615";"44231";"23066640000108";"070840";"SANTANA";"AP";"1600600"
"284";"A";"0618";"53222";"01615421000190";"031496";"GOIABEIRA";"MG";"3127370"
"285";"A";"0619";"44183";"10249241000122";"091197";"SAO GERALDO DO ARAGUAIA";"PA";"1507458"
"286";"A";"0622";"53239";"01612549000108";"032824";"GUARACIAMA";"MG";"3128253"
"287";"A";"0623";"51200";"83334672000160";"084840";"ULIANOPOLIS";"PA";"1508126"
"288";"A";"0626";"53208";"01613233000122";"035670";"IMBE DE MINAS";"MG";"3130556"
"289";"A";"0627";"51121";"83211433000113";"099759";"GOIANESIA DO PARA";"PA";"1503093"
"290";"A";"0629";"50878";"34626416000131";"100285";"NOVO REPARTIMENTO";"PA";"1505064"
"291";"A";"0630";"53246";"01612476000146";"041114";"JAPONVAR";"MG";"3135357"
"292";"A";"0631";"50665";"10221745000134";"040169";"JACAREACANGA";"PA";"1503754"
